id,solicitante,soliciado_em,executado_em,intervalo_em_seg,valor
3,1,2021-11-04 16:58:14,2021-12-03 12:37:43,2489969.57,750.00000
4,1,2021-11-04 16:58:14,2021-12-03 12:37:44,2489969.62,790.00000
349,12,2021-11-04 16:58:21,2021-12-03 12:38:06,2489984.82,3600.00000
6,1,2021-11-04 16:58:14,2021-12-03 12:37:44,2489969.70,530.00000
8,2,2021-11-04 16:58:14,2021-12-03 12:37:44,2489969.78,20.00000
9,2,2021-11-04 16:58:14,2021-12-03 12:37:44,2489969.81,120.00000
341,12,2021-11-04 16:58:21,2021-12-03 12:38:05,2489984.35,10680.00000
342,12,2021-11-04 16:58:21,2021-12-03 12:38:05,2489984.53,3840.00000
5,1,2021-11-04 16:58:14,2021-12-03 12:37:44,2489969.66,370.00000
35,2,2021-11-04 16:58:15,2021-12-03 12:37:46,2489971.07,120.00000
13,2,2021-11-04 16:58:14,2021-12-03 12:37:44,2489969.98,1540.00000
17,2,2021-11-04 16:58:14,2021-12-03 12:37:44,2489970.26,1020.00000
18,2,2021-11-04 16:58:14,2021-12-03 12:37:45,2489970.31,700.00000
19,2,2021-11-04 16:58:14,2021-12-03 12:37:45,2489970.36,920.00000
20,2,2021-11-04 16:58:14,2021-12-03 12:37:45,2489970.40,1480.00000
21,2,2021-11-04 16:58:14,2021-12-03 12:37:45,2489970.45,1280.00000
69,4,2021-11-04 16:58:15,2021-12-03 12:37:48,2489972.47,840.00000
351,13,2021-11-04 16:58:21,2021-12-03 12:38:06,2489984.90,9230.00000
15,2,2021-11-04 16:58:14,2021-12-03 12:37:44,2489970.15,1440.00000
16,2,2021-11-04 16:58:14,2021-12-03 12:37:44,2489970.20,700.00000
25,2,2021-11-04 16:58:14,2021-12-03 12:37:45,2489970.63,840.00000
28,2,2021-11-04 16:58:14,2021-12-03 12:37:45,2489970.76,1900.00000
29,2,2021-11-04 16:58:14,2021-12-03 12:37:45,2489970.80,1100.00000
31,2,2021-11-04 16:58:14,2021-12-99 12:37:45,2489970.89,300.00000
